Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,17.562500,18.187500,16.187500,16.375000,12.200092,30307800
2000-02-01,16.250000,19.750000,15.937500,16.312500,12.153524,41421300
2000-03-01,16.625000,17.312500,15.562500,15.687500,11.687875,34786700
2000-04-01,15.687500,17.812500,15.500000,16.812500,12.526048,35090400
2000-05-01,16.625000,19.125000,16.625000,18.125000,13.503919,39834900
2000-06-01,18.187500,20.000000,17.250000,18.171875,13.704682,29166000
2000-07-01,18.187500,18.375000,15.812500,15.937500,12.019584,18627300
2000-08-01,16.062500,17.687500,15.625000,15.953125,12.031370,24942800
2000-09-01,16.000000,16.562500,14.812500,15.250000,11.501093,27088600
2000-10-01,15.125000,15.187500,12.312500,13.375000,10.087028,37026800
2000-11-01,13.437500,15.125000,13.125000,15.000000,11.312552,27065100
2000-12-01,14.875000,17.260000,14.812500,16.379999,12.444946,32823300
2001-01-01,16.379999,17.340000,14.870000,15.470000,11.753564,29615300
2001-02-01,15.540000,16.450001,13.800000,16.200001,12.308194,31823900
2001-03-01,16.150000,17.680000,13.690000,14.290000,10.857043,40740800
2001-04-01,14.250000,16.879999,13.720000,16.440001,12.490541,32811700
2001-05-01,16.410000,19.379999,16.139999,16.500000,12.536119,50493200
2001-06-01,16.600000,17.590000,14.940000,15.150000,11.582954,48247500
2001-07-01,15.080000,15.790000,14.200000,14.890000,11.384175,35107000
2001-08-01,14.970000,17.049999,14.400000,16.020000,12.248120,42998300
2001-09-01,15.870000,17.990000,15.500000,17.350000,13.264973,44206000
2001-10-01,17.350000,17.950001,15.310000,15.590000,11.919361,51278200
2001-11-01,15.600000,16.170000,13.960000,15.130000,11.567666,37704500
2001-12-01,15.200000,16.690001,14.850000,15.950000,12.286535,41141400
2002-01-01,15.910000,17.650000,15.560000,17.100000,13.172403,50462200
2002-02-01,17.299999,19.500000,17.180000,18.049999,13.904202,74099500
2002-03-01,17.900000,18.940001,16.900000,18.559999,14.297056,55919600
2002-04-01,18.400000,20.510000,17.180000,20.070000,15.460238,71516000
2002-05-01,19.650000,23.490000,19.629999,21.799999,16.792883,74586600
2002-06-01,21.840000,23.000000,18.950001,18.990000,14.697656,77734500
2002-07-01,18.900000,19.629999,13.460000,15.320000,11.857191,170752500
2002-08-01,14.560000,16.650000,14.470000,16.070000,12.437671,65757500
2002-09-01,16.290001,18.190001,14.900000,15.550000,12.035206,85338900
2002-10-01,15.560000,15.980000,13.820000,15.070000,11.663701,58801700
2002-11-01,15.400000,16.740000,14.080000,14.670000,11.354115,42271200
